,scripture_references
66,1 Corinthians 15:55; Mosiah 16:8; 1 Peter 1:3; 1 Thessalonians 4:18; Jacob 4:12; 2 Nephi 25:26; Alma 34:10; Ephesians 3:18–19; Doctrine and Covenants 93:28; Doctrine and Covenants 78:17; Romans 3:23; 1 Nephi 15:34; 1 Nephi 10:21; Moses 6:57; Mosiah 2:21; Alma 42:15; Alma 34:15; Isaiah 1:18; 1 Timothy 2:6; 2 Peter 1:11; Doctrine and Covenants 76:56; Doctrine and Covenants 76:59; Doctrine and Covenants 84:38; Mosiah 27:25; Moroni 10:32; Ether 12:27; Luke 7:36–50; Luke 18:9–14; Acts 20:28; Romans 6:1–2; Mosiah 5:2; Doctrine and Covenants 121:45; John 7:17; 2 Nephi 25:23; Matthew 26:41; Romans 7:19; 2 Nephi 4:17; 2 Nephi 4:19; Alma 34:31; 2 Nephi 25:23; 3 Nephi 9:19; 1 Corinthians 2:9; Romans 6:4; 1 Corinthians 15:55; Mosiah 16:8; 1 Peter 1:3; 1 Thessalonians 4:18; Jacob 4:12; 2 Nephi 25:26; Alma 34:10; Ephesians 3:18–19; Doctrine and Covenants 93:28; Doctrine and Covenants 78:17; Romans 3:23; 1 Nephi 15:34; 1 Nephi 10:21; Moses 6:57; Mosiah 2:21; Alma 42:15; Alma 34:15; Isaiah 1:18; 1 Timothy 2:6; 2 Peter 1:11; Doctrine and Covenants 76:56; Doctrine and Covenants 76:59; Doctrine and Covenants 84:38; Mosiah 27:25; Moroni 10:32; Ether 12:27; Luke 7:36–50; Luke 18:9–14; Acts 20:28; Romans 6:1–2; Mosiah 5:2; Doctrine and Covenants 121:45; John 7:17; 2 Nephi 25:23; Matthew 26:41; Romans 7:19; 2 Nephi 4:17; 2 Nephi 4:19; Alma 34:31; 2 Nephi 25:23; 3 Nephi 9:19; 1 Corinthians 2:9; Romans 6:4
67,2 Timothy 3:3; Isaiah 5:20; Moses 6:56; Moses 4:3; Doctrine and Covenants 29:36; Abraham 3:27; Moses 4:2; 2 Corinthians 3:17; Doctrine and Covenants 134:2; Deuteronomy 11:19; Mark 16:15; Matthew 6:6; Matthew 5:16; Alma 2:1–4; Mosiah 29:25–26; Alma 2:5; Alma 2:7; Alma 2:5; Alma 46:12; Alma 46:21; 2 Nephi 2:27; 2 Timothy 3:3; Isaiah 5:20; Moses 6:56; Moses 4:3; Doctrine and Covenants 29:36; Abraham 3:27; Moses 4:2; 2 Corinthians 3:17; Doctrine and Covenants 134:2; Deuteronomy 11:19; Mark 16:15; Matthew 6:6; Matthew 5:16; Alma 2:1–4; Mosiah 29:25–26; Alma 2:5; Alma 2:7; Alma 2:5; Alma 46:12; Alma 46:21; 2 Nephi 2:27
68,1 Nephi 8:7; Moroni 10:32; John 14:6; 2 Nephi 31:20; 1 Nephi 8:30; John 6:68; 1 Nephi 12:18; 2 Timothy 3:7; Alma 5:7; Jacob 4:13; 1 Nephi 15:24; 1 Nephi 8:7; Moroni 10:32; John 14:6; 2 Nephi 31:20; 1 Nephi 8:30; John 6:68; 1 Nephi 12:18; 2 Timothy 3:7; Alma 5:7; Jacob 4:13; 1 Nephi 15:24
69,Moses 1:39; Alma 12:32; D&C 58:273; 1 Nephi 17:2; 1 Nephi 2:12; 1 Nephi 17:20; Isaiah 55:8–9; Moses 1:39; Alma 12:32; 1 Nephi 17:2; 1 Nephi 2:12; 1 Nephi 17:20; Isaiah 55:8–9
70,Doctrine and Covenants 100:16; 1 Nephi 14:14; Doctrine and Covenants 10:55; 2 Nephi 27:20; John 1:3; Doctrine and Covenants 65:2; 1 Nephi 14:12; Doctrine and Covenants 59:21; Alma 26:37; Matthew 21:21; Mark 5:36; Matthew 10:29; 2 Kings 6:15; 2 Kings 6:16; Mosiah 4:11; Matthew 6:9–10; Doctrine and Covenants 65:6; Luke 2:12; Doctrine and Covenants 45:44; 1 Thessalonians 4:16; Doctrine and Covenants 133:49; Doctrine and Covenants 45:46; Doctrine and Covenants 88:96; Doctrine and Covenants 88:97; Doctrine and Covenants 101:23; Doctrine and Covenants 45:49; Doctrine and Covenants 133:22; Doctrine and Covenants 133:25; Moses 7:63; Isaiah 52:10; Doctrine and Covenants 133:25; Doctrine and Covenants 88:104; Matthew 6:10; Doctrine and Covenants 100:16; 1 Nephi 14:14; Doctrine and Covenants 10:55; 2 Nephi 27:20; John 1:3; Doctrine and Covenants 65:2; 1 Nephi 14:12; Doctrine and Covenants 59:21; Alma 26:37; Matthew 21:21; Mark 5:36; Matthew 10:29; 2 Kings 6:15; 2 Kings 6:16; Mosiah 4:11; Matthew 6:9–10; Doctrine and Covenants 65:6; Luke 2:12; Doctrine and Covenants 45:44; 1 Thessalonians 4:16; Doctrine and Covenants 133:49; Doctrine and Covenants 45:46; Doctrine and Covenants 88:96; Doctrine and Covenants 88:97; Doctrine and Covenants 101:23; Doctrine and Covenants 45:49; Doctrine and Covenants 133:22; Doctrine and Covenants 133:25; Moses 7:63; Isaiah 52:10; Doctrine and Covenants 133:25; Doctrine and Covenants 88:104; Matthew 6:10
71,Doctrine and Covenants 132:21; Doctrine and Covenants 107:99; 1 Nephi 8:10; Matthew 7:14; 2 Nephi 32:3; 2 Nephi 32:5; Leviticus 19:12; Matthew 5:37; Mark 2:5; Mark 1:40; Doctrine and Covenants 132:21; Doctrine and Covenants 107:99; 1 Nephi 8:10; Matthew 7:14; 2 Nephi 32:3; 2 Nephi 32:5; Leviticus 19:12; Matthew 5:37; Mark 2:5; Mark 1:40
72,Moses 2:28; Moses 2:26–27; Genesis 1:26–28; John 15:5; Doctrine and Covenants 20:37; Moroni 7:44; Mosiah 3:19; Mosiah 18:9; John 15:16; Moses 1:39; Moses 5:10–11; Jacob 2:18–19; 1 Corinthians 6:19; Galatians 5:16–25; 1 Thessalonians 4:3; 2 Timothy 2:22; Jacob 2:12–16; Moroni 7:33; 2 Nephi 10:24; Doctrine and Covenants 1:16; Moses 6:51–52; Alma 26:12; 1 Corinthians 10:13; Hebrews 2:18; Moses 2:28; Moses 2:26–27; Genesis 1:26–28; John 15:5; Doctrine and Covenants 20:37; Moroni 7:44; Mosiah 3:19; Mosiah 18:9; John 15:16; Moses 1:39; Moses 5:10–11; Jacob 2:18–19; 1 Corinthians 6:19; Galatians 5:16–25; 1 Thessalonians 4:3; 2 Timothy 2:22; Jacob 2:12–16; Moroni 7:33; 2 Nephi 10:24; Doctrine and Covenants 1:16; Moses 6:51–52; Alma 26:12; 1 Corinthians 10:13; Hebrews 2:18
73,Isaiah 58:13; Mark 2:27; Genesis 2:2–3; Exodus 20:8; Deuteronomy 5:12; Mosiah 13:16; Deuteronomy 5:14–15; Exodus 31:13; Doctrine and Covenants 59:12; Matthew 26:26–28; Mark 14:22–24; 3 Nephi 18:1; Moroni 4:1–3; Doctrine and Covenants 20:77; Doctrine and Covenants 20:68; Doctrine and Covenants 20:37; Matthew 12:8; Mark 2:28; Luke 6:5; Exodus 31:13; Leviticus 19:3; Doctrine and Covenants 68:29; Ezekiel 20:20; Exodus 31:13; Ezekiel 20:12; Doctrine and Covenants 59:9; Leviticus 26:2–4; Doctrine and Covenants 128:15; Doctrine and Covenants 68:25; Moses 6:58–62; Doctrine and Covenants 88:77; Isaiah 61:1; Doctrine and Covenants 128:22; Matthew 25:35–40; Isaiah 58:13–14; Mosiah 2:21; 1 Timothy 4:12; Moroni 10:32–33; Isaiah 58:13; Mark 2:27; Genesis 2:2–3; Exodus 20:8; Deuteronomy 5:12; Mosiah 13:16; Deuteronomy 5:14–15; Exodus 31:13; Doctrine and Covenants 59:12; Matthew 26:26–28; Mark 14:22–24; 3 Nephi 18:1; Moroni 4:1–3; Doctrine and Covenants 20:77; Doctrine and Covenants 20:68; Doctrine and Covenants 20:37; Matthew 12:8; Mark 2:28; Luke 6:5; Exodus 31:13; Leviticus 19:3; Doctrine and Covenants 68:29; Ezekiel 20:20; Exodus 31:13; Ezekiel 20:12; Doctrine and Covenants 59:9; Leviticus 26:2–4; Doctrine and Covenants 128:15; Doctrine and Covenants 68:25; Moses 6:58–62; Doctrine and Covenants 88:77; Isaiah 61:1; Doctrine and Covenants 128:22; Matthew 25:35–40; Isaiah 58:13–14; Mosiah 2:21; 1 Timothy 4:12; Moroni 10:32–33
74,2 Nephi 25:26; John 14:6; Ether 3:14; 1 Corinthians 15:22; Alma 34:9–10; Romans 3:23–24; D&C 65:2; 1 Corinthians 12:12; History 1:10; 2 Nephi 28:30; D&C 128:21; Faith 1:3
75,Matthew 22:37–39; Isaiah 51:7; 2 Nephi 8:7; 1 Nephi 8:25; Proverbs 29:25; Matthew 22:37–39; D&C 3:6; Matthew 6:24; 3 Nephi 13:24; Esther 4:8–16; Matthew 14:9; Mosiah 17:11–12; 1 Samuel 15:24; John 12:42–43; Moroni 8:16; 1 Nephi 6:5; Alma 60:36; Alma 48:17; 1 Nephi 16:2; Alma 30:52; Alma 30:53; 4 Nephi 1:27; D&C 93:39; John 2:15–16; D&C 110:7; John 5:41; Matthew 8:4; Mark 7:36; Luke 5:14; Matthew 4:24; Matthew 6:5; John 8:29; John 5:30; John 14:9; John 5:36; John 17:21–22; D&C 121:35; Matthew 22:38
76,Doctrine and Covenants 20:77; Doctrine and Covenants 20:77; Matthew 26:22; Matthew 26:26; Matthew 26:24; Matthew 26:26–28; Mark 14:22–24; Luke 22:15–20; 3 Nephi 18:7; Doctrine and Covenants 20:75; Doctrine and Covenants 20:77; John 14:15; John 6:48; John 4:10; 3 Nephi 20:8; Doctrine and Covenants 20:77; 3 Nephi 9:14; Doctrine and Covenants 20:77; Doctrine and Covenants 20:77; Matthew 26:22; Matthew 26:26; Matthew 26:24; Matthew 26:26–28; Mark 14:22–24; Luke 22:15–20; 3 Nephi 18:7; Doctrine and Covenants 20:75; Doctrine and Covenants 20:77; John 14:15; John 6:48; John 4:10; 3 Nephi 20:8; Doctrine and Covenants 20:77; 3 Nephi 9:14
77,Mark 2:1–5; Mark 2:3; Mark 2:4; Mark 2:5
78,Doctrine and Covenants 101:78; Moses 6:57; Moses 6:55; Faith 1:2; 2 Nephi 2:25; Moses 6:53–56; 2 Nephi 2:26; Doctrine and Covenants 93:38; 3 Nephi 12:48; Romans 8:16–17; Doctrine and Covenants 84:37; Revelation 12:7–9; Doctrine and Covenants 29:36; Moses 4:3–4; Doctrine and Covenants 93:29; Doctrine and Covenants 3:2; Acts 10:34; Doctrine and Covenants 1:31; Alma 42:25; Alma 42:24; Doctrine and Covenants 45:4; Mosiah 15:9; Alma 42:13; 2 Nephi 31:19; Alma 34:16; 2 Nephi 2:13; 2 Nephi 25:23; Moroni 10:31; Doctrine and Covenants 101:78; Moses 6:57; Moses 6:55; Faith 1:2; 2 Nephi 2:25; Moses 6:53–56; 2 Nephi 2:26; Doctrine and Covenants 93:38; 3 Nephi 12:48; Romans 8:16–17; Doctrine and Covenants 84:37; Revelation 12:7–9; Doctrine and Covenants 29:36; Moses 4:3–4; Doctrine and Covenants 93:29; Doctrine and Covenants 3:2; Acts 10:34; Doctrine and Covenants 1:31; Alma 42:25; Alma 42:24; Doctrine and Covenants 45:4; Mosiah 15:9; Alma 42:13; 2 Nephi 31:19; Alma 34:16; 2 Nephi 2:13; 2 Nephi 25:23; Moroni 10:31
79,Moses 1:33; Moses 1:33; John 14:6; 3 Nephi 17:3; Alma 32:27; Doctrine and Covenants 67:3; Moroni 10:3–5; John 7:17; Psalm 25:14; John 3:21; Doctrine and Covenants 82:10; 1 Corinthians 2:14; Doctrine and Covenants 50:24; 1 Corinthians 1:18; Moroni 10:32; Doctrine and Covenants 20:59; Alma 5:26; Doctrine and Covenants 88:63; Moses 1:33; Moses 1:33; John 14:6; 3 Nephi 17:3; Alma 32:27; Doctrine and Covenants 67:3; Moroni 10:3–5; John 7:17; Psalm 25:14; John 3:21; Doctrine and Covenants 82:10; 1 Corinthians 2:14; Doctrine and Covenants 50:24; 1 Corinthians 1:18; Moroni 10:32; Doctrine and Covenants 20:59; Alma 5:26; Doctrine and Covenants 88:63
80,John 13:34; John 15:12; Matthew 22:39; Matthew 5:44; John 17:14; Luke 13:21; Matthew 13:33; 1 Corinthians 5:6; John 14:15; 3 Nephi 11:28; Proverbs 29:8; Romans 14:19; Ephesians 4:15; James 1:20; D&C 38:41; D&C 19:30; John 8:4; John 8:11; Mosiah 29:26; Matthew 7:12; 2 Nephi 31:20
81,History 1:33; History 1:29–46; History 1:23; Doctrine and Covenants 135:1; Acts 26:24; Matthew 11:19; John 10:20; Doctrine and Covenants 122:1; James 1:5; History 1:11–13; Matthew 5:44; Doctrine and Covenants 135:3; Doctrine and Covenants 76:23; Matthew 7:18; History 1:33; History 1:29–46; History 1:23; Doctrine and Covenants 135:1; Acts 26:24; Matthew 11:19; John 10:20; Doctrine and Covenants 122:1; James 1:5; History 1:11–13; Matthew 5:44; Doctrine and Covenants 135:3; Doctrine and Covenants 76:23; Matthew 7:18
82,D&C 68:25; Enos 1:3; D&C 10:5
83,2 Nephi 2:27; D&C 88:15; John 14:15; D&C 64:34; D&C 33:1; Joshua 24:15; D&C 64:10; Abraham 3:25; Mosiah 4:12; D&C 121:45
84,Alma 29:8; John 10:14; Matthew 11:28; Isaiah 55:3; Acts 2:37–38; Doctrine and Covenants 20:37; Doctrine and Covenants 42:29; Mark 10:21; 2 Nephi 31:10; Moses 6:33–35; Luke 8:43–48; Mark 10:46–52; Mosiah 5:2; Doctrine and Covenants 81:5; Isaiah 35:3; Alma 22:15–16; Alma 34:17–27; Psalm 119:105; Helaman 3:29; Mosiah 5:5; Alma 29:8; John 10:14; Matthew 11:28; Isaiah 55:3; Acts 2:37–38; Doctrine and Covenants 20:37; Doctrine and Covenants 42:29; Mark 10:21; 2 Nephi 31:10; Moses 6:33–35; Luke 8:43–48; Mark 10:46–52; Mosiah 5:2; Doctrine and Covenants 81:5; Isaiah 35:3; Alma 22:15–16; Alma 34:17–27; Psalm 119:105; Helaman 3:29; Mosiah 5:5
85,Luke 4:18; Matthew 8:20; 2 Nephi 2:14; 3 Nephi 9:15; Isaiah 3:14–15; Proverbs 14:31; Doctrine and Covenants 38:35; Mark 14:3–5; Matthew 26:6–9; John 12:3–5; Mark 14:6; Luke 15:7; Mosiah 4:19; Mosiah 4:11–12; Alma 32:2–3; Alma 34:17–27; Alma 34:28; Isaiah 58:6–7; Isaiah 58:9; Isaiah 52:7; Doctrine and Covenants 56:18; Luke 4:18; Matthew 8:20; 2 Nephi 2:14; 3 Nephi 9:15; Isaiah 3:14–15; Proverbs 14:31; Doctrine and Covenants 38:35; Mark 14:3–5; Matthew 26:6–9; John 12:3–5; Mark 14:6; Luke 15:7; Mosiah 4:19; Mosiah 4:11–12; Alma 32:2–3; Alma 34:17–27; Alma 34:28; Isaiah 58:6–7; Isaiah 58:9; Isaiah 52:7; Doctrine and Covenants 56:18
86,2 Nephi 32:5; Helaman 5:12
87,Isaiah 7:15; Isaiah 7:15; Doctrine and Covenants 58:27; Doctrine and Covenants 45:26; Mark 7:22; Acts 17:21; Acts 17:32; Doctrine and Covenants 76:5; Alma 34:32; Doctrine and Covenants 76:79; Isaiah 7:15; Doctrine and Covenants 58:27; Doctrine and Covenants 45:26; Mark 7:22; Acts 17:21; Acts 17:32; Doctrine and Covenants 76:5; Alma 34:32; Doctrine and Covenants 76:79
88,Alma 56:48; Alma 5:46; Alma 5:45–46; 1 Nephi 2:16; 1 Nephi 10:17; 1 Nephi 11:1; History 1:8–10; James 1:5; Alma 32:28; Alma 32:38; Alma 32:41; Alma 56:48; Alma 5:46; Alma 5:45–46; 1 Nephi 2:16; 1 Nephi 10:17; 1 Nephi 11:1; History 1:8–10; James 1:5; Alma 32:28; Alma 32:38; Alma 32:41
89,Deuteronomy 15:11; Isaiah 58:6–7; Isaiah 58:8–11; 3 Nephi 27:27; Deuteronomy 15:11; Isaiah 58:6–7; Isaiah 58:8–11; 3 Nephi 27:27
90,Matthew 26:21–22; Matthew 7:3; 1 Timothy 1:11; 2 Corinthians 4:4; Luke 12:34; Ephesians 3:18; Doctrine and Covenants 4:6; Alma 17:11; Ether 12:27; James 4:6; Doctrine and Covenants 1:28; Matthew 26:21–22; Matthew 7:3; 1 Timothy 1:11; 2 Corinthians 4:4; Luke 12:34; Ephesians 3:18; Doctrine and Covenants 4:6; Alma 17:11; Ether 12:27; James 4:6; Doctrine and Covenants 1:28
91,Doctrine and Covenants 84:26; Alma 42:10; Alma 12:24; Alma 8:14–18; Doctrine and Covenants 122:9; Doctrine and Covenants 121:43; Doctrine and Covenants 13:1; Doctrine and Covenants 107:14; Doctrine and Covenants 84:26; Alma 42:10; Alma 12:24; Alma 8:14–18; Doctrine and Covenants 122:9; Doctrine and Covenants 121:43; Doctrine and Covenants 13:1; Doctrine and Covenants 107:14
92,Luke 18:22; 1 Timothy 4:12; Philippians 2:15; Daniel 5:17; Daniel 6:23; Jacob 7:5; Luke 18:22; 1 Timothy 4:12; Philippians 2:15; Daniel 5:17; Daniel 6:23; Jacob 7:5
93,1 Nephi 3:7; 1 Nephi 3:8; Doctrine and Covenants 121:45; Matthew 16:19; 1 Nephi 3:7; 1 Nephi 3:8; Doctrine and Covenants 121:45; Matthew 16:19
94,1 Nephi 1:19; 1 Nephi 11:31; Jacob 4:4–6; Mosiah 3:5–11; Mosiah 15:1–9; Alma 40:2; Helaman 14:12; Doctrine and Covenants 42:11; 1 Nephi 11:36; Daniel 9:10; Amos 3:7; Doctrine and Covenants 21:1; John 15:16; Doctrine and Covenants 1:30; Doctrine and Covenants 107:27; 3 Nephi 13:10; Matthew 6:10; Luke 11:2; 2 Nephi 3:6; Abraham 3:22–23; Mosiah 2:11; 1 Nephi 1:19; 1 Nephi 11:31; Jacob 4:4–6; Mosiah 3:5–11; Mosiah 15:1–9; Alma 40:2; Helaman 14:12; Doctrine and Covenants 42:11; 1 Nephi 11:36; Daniel 9:10; Amos 3:7; Doctrine and Covenants 21:1; John 15:16; Doctrine and Covenants 1:30; Doctrine and Covenants 107:27; 3 Nephi 13:10; Matthew 6:10; Luke 11:2; 2 Nephi 3:6; Abraham 3:22–23
95,Doctrine and Covenants 132:7; Doctrine and Covenants 21:4; Doctrine and Covenants 68:4; Doctrine and Covenants 1:38; Ephesians 2:20; Ephesians 4:14; Ephesians 4:12–13; 1 Kings 17:10; 1 Kings 17:11; 1 Kings 17:14; Isaiah 55:9; Proverbs 3:5; 1 Kings 17:15; Helaman 5:12; 3 Nephi 20:23; Mosiah 2:9; Doctrine and Covenants 132:7; Doctrine and Covenants 21:4; Doctrine and Covenants 68:4; Doctrine and Covenants 1:38; Ephesians 2:20; Ephesians 4:14; Ephesians 4:12–13; 1 Kings 17:10; 1 Kings 17:11; 1 Kings 17:14; Isaiah 55:9; Proverbs 3:5; 1 Kings 17:15; Helaman 5:12; 3 Nephi 20:23; Mosiah 2:9
96,Doctrine and Covenants 14:7; John 17:3; Doctrine and Covenants 46:13; 2 Nephi 32:3; 1 John 4:19; Moses 4:2; Moses 2:1; Luke 1:32; Luke 2:49; Matthew 3:17; Matthew 6:9–10; John 3:16; John 5:19; John 17:1; Matthew 26:39; Luke 23:34; Doctrine and Covenants 138:51; John 20:17; 3 Nephi 11:7; 3 Nephi 11:10; 3 Nephi 11:32; 3 Nephi 11:27; Moses 1:39; 3 Nephi 19:29; History 1:17; Ether 12:41; Moroni 10:4–5; Helaman 5:12; Moses 7:53; 3 Nephi 14:24; Doctrine and Covenants 88:119; Doctrine and Covenants 88:4; Doctrine and Covenants 14:7; John 17:3; Doctrine and Covenants 46:13; 2 Nephi 32:3; 1 John 4:19; Moses 4:2; Moses 2:1; Luke 1:32; Luke 2:49; Matthew 3:17; Matthew 6:9–10; John 3:16; John 5:19; John 17:1; Matthew 26:39; Luke 23:34; Doctrine and Covenants 138:51; John 20:17; 3 Nephi 11:7; 3 Nephi 11:10; 3 Nephi 11:32; 3 Nephi 11:27; Moses 1:39; 3 Nephi 19:29; History 1:17; Ether 12:41; Moroni 10:4–5; Helaman 5:12; Moses 7:53; 3 Nephi 14:24; Doctrine and Covenants 88:119; Doctrine and Covenants 88:4
97,Matthew 26:17–20; Mark 14:12–17; Luke 22:7–18; Numbers 28:16–25; Exodus 13:12–13; Mosiah 2:3–4; Moses 5:5–8; Matthew 26:26; Mark 14:22; Luke 22:19; 1 Corinthians 11:24; 3 Nephi 18:3; Matthew 26:26; Mark 14:22; 1 Corinthians 11:24; Luke 22:19; 1 Corinthians 11:24; Luke 22:20; Matthew 26:28; Mark 14:24; 1 Corinthians 11:25; Matthew 26:28; Luke 22:19; 3 Nephi 18:11; 2 Nephi 11:4; Jacob 4:5; Alma 34:14; 3 Nephi 9:17; Moses 5:5–8; John 6:51–57; 1 Corinthians 11:24; Doctrine and Covenants 20:40; Acts 20:7; Acts 2:42; 3 Nephi 9:19; 3 Nephi 18:6; 3 Nephi 18:7; Doctrine and Covenants 20:75; Alma 7:11; Luke 22:44; Mosiah 3:7; Doctrine and Covenants 19:18; Psalm 22:16; John 19:33–34; 3 Nephi 11:14; Doctrine and Covenants 6:37; Matthew 28:6; Luke 24:6; John 20:20; Doctrine and Covenants 76:22; John 6:51–59; Alma 11:42–44; 3 Nephi 27:13; Luke 22:44; Mosiah 3:7; Doctrine and Covenants 19:18; Isaiah 53:5; Matthew 26:67; Mark 14:65; Luke 22:63–65; John 19:1; Mosiah 15:5; Matthew 27:35; Mark 15:15; Luke 23:33; John 19:16; Doctrine and Covenants 19:15; Alma 11:42–45; 3 Nephi 27:13; Moses 6:55; Matthew 5:27–28; James 3:1–13; Mosiah 4:29–30; Alma 12:14; Moses 6:57; 1 Corinthians 6:9; Ephesians 5:5; 1 Nephi 10:21; Alma 7:21; 3 Nephi 27:19; Doctrine and Covenants 1:31; Alma 36:15; Revelation 6:15–17; Alma 12:14; 3 Nephi 27:19; 2 Nephi 31:2; 3 Nephi 11:31; Doctrine and Covenants 76:40; 3 Nephi 27:19; Revelation 1:5–6; Alma 5:21; Ether 13:10–11; Moses 6:59–60; Doctrine and Covenants 20:77; Moroni 4:3; Doctrine and Covenants 20:77; Moroni 4:3; Romans 15:16; 1 Corinthians 6:11; 2 Nephi 31:17; Alma 5:54; 3 Nephi 27:20; Moroni 6:4; Doctrine and Covenants 93:6; Doctrine and Covenants 84:22; Matthew 26:17–20; Mark 14:12–17; Luke 22:7–18; Numbers 28:16–25; Exodus 13:12–13; Mosiah 2:3–4; Moses 5:5–8; Matthew 26:26; Mark 14:22; Luke 22:19; 1 Corinthians 11:24; 3 Nephi 18:3; Matthew 26:26; Mark 14:22; 1 Corinthians 11:24; Luke 22:19; 1 Corinthians 11:24; Luke 22:20; Matthew 26:28; Mark 14:24; 1 Corinthians 11:25; Matthew 26:28; Luke 22:19; 3 Nephi 18:11; 2 Nephi 11:4; Jacob 4:5; Alma 34:14; 3 Nephi 9:17; Moses 5:5–8; John 6:51–57; 1 Corinthians 11:24; Doctrine and Covenants 20:40; Acts 20:7; Acts 2:42; 3 Nephi 9:19; 3 Nephi 18:6; 3 Nephi 18:7; Doctrine and Covenants 20:75; Alma 7:11; Luke 22:44; Mosiah 3:7; Doctrine and Covenants 19:18; Psalm 22:16; John 19:33–34; 3 Nephi 11:14; Doctrine and Covenants 6:37; Matthew 28:6; Luke 24:6; John 20:20; Doctrine and Covenants 76:22; John 6:51–59; Alma 11:42–44; 3 Nephi 27:13; Luke 22:44; Mosiah 3:7; Doctrine and Covenants 19:18; Isaiah 53:5; Matthew 26:67; Mark 14:65; Luke 22:63–65; John 19:1; Mosiah 15:5; Matthew 27:35; Mark 15:15; Luke 23:33; John 19:16; Doctrine and Covenants 19:15; Alma 11:42–45; 3 Nephi 27:13; Moses 6:55; Matthew 5:27–28; James 3:1–13; Mosiah 4:29–30; Alma 12:14; Moses 6:57; 1 Corinthians 6:9; Ephesians 5:5; 1 Nephi 10:21; Alma 7:21; 3 Nephi 27:19; Doctrine and Covenants 1:31; Alma 36:15; Revelation 6:15–17; Alma 12:14; 3 Nephi 27:19; 2 Nephi 31:2; 3 Nephi 11:31; Doctrine and Covenants 76:40; 3 Nephi 27:19; Revelation 1:5–6; Alma 5:21; Ether 13:10–11; Moses 6:59–60; Doctrine and Covenants 20:77; Moroni 4:3; Doctrine and Covenants 20:77; Moroni 4:3; Romans 15:16; 1 Corinthians 6:11; 2 Nephi 31:17; Alma 5:54; 3 Nephi 27:20; Moroni 6:4; Doctrine and Covenants 93:6; Doctrine and Covenants 84:22
98,Abraham 3:25; Luke 18:22; 3 Nephi 27:21; 3 Nephi 27:27; 2 Nephi 31:16; Luke 18:22; John 14:6; Luke 13:34; Matthew 4:10; Luke 22:44; Doctrine and Covenants 29:39; 1 Samuel 15:22; Luke 22:42; Luke 10:30–37; Matthew 25:14–30; Luke 15:4–7; Proverbs 4:26; Abraham 3:25; Luke 18:22; 3 Nephi 27:21; 3 Nephi 27:27; 2 Nephi 31:16; Luke 18:22; John 14:6; Luke 13:34; Matthew 4:10; Luke 22:44; Doctrine and Covenants 29:39; 1 Samuel 15:22; Luke 22:42; Luke 10:30–37; Matthew 25:14–30; Luke 15:4–7; Proverbs 4:26
99,Alma 5:26; D&C 1:385; Alma 17:2; Alma 17:3; 2 Nephi 31:20; Galatians 6:2; Alma 5:26; Alma 17:2; Alma 17:3; 2 Nephi 31:20; Galatians 6:2
100,Moses 5:11; Abraham 3:25; 2 Nephi 2:11; Doctrine and Covenants 18:36; 2 Nephi 2:13; 2 Nephi 2:2; Moses 5:11; Abraham 3:25; 2 Nephi 2:11; Doctrine and Covenants 18:36; 2 Nephi 2:13; 2 Nephi 2:2
101,Moses 1:3–4; 1 Nephi 2:2; History 1:1–26; 1 Nephi 10:17
102,2 Nephi 2:22; Mosiah 2:41; Faith 1:3; Doctrine and Covenants 107:22; Doctrine and Covenants 107:23; Doctrine and Covenants 107:24; Doctrine and Covenants 107:25; Alma 42:8; Doctrine and Covenants 128:24; Doctrine and Covenants 128:18; Doctrine and Covenants 128:24; Doctrine and Covenants 128:18; 2 Nephi 2:22; Mosiah 2:41; Faith 1:3; Doctrine and Covenants 107:22; Doctrine and Covenants 107:23; Doctrine and Covenants 107:24; Doctrine and Covenants 107:25; Alma 42:8; Doctrine and Covenants 128:24; Doctrine and Covenants 128:18; Doctrine and Covenants 128:24; Doctrine and Covenants 128:18
103,Doctrine and Covenants 18:10; Luke 10:37; Doctrine and Covenants 1:23; Matthew 4:19; Obadiah 1:21; Matthew 25:32–40; Doctrine and Covenants 18:10; Luke 10:37; Doctrine and Covenants 1:23; Matthew 4:19; Obadiah 1:21; Matthew 25:32–40
104,2 Nephi 2:11; Doctrine and Covenants 6:23; Doctrine and Covenants 50:40; James 1:5; Doctrine and Covenants 98:12; Moses 1:6; Doctrine and Covenants 3:2; Doctrine and Covenants 121:35; Doctrine and Covenants 6:12; 2 Nephi 2:11; Doctrine and Covenants 6:23; Doctrine and Covenants 50:40; James 1:5; Doctrine and Covenants 98:12; Moses 1:6; Doctrine and Covenants 3:2; Doctrine and Covenants 121:35; Doctrine and Covenants 6:12
105,Matthew 28:19–20; John 1:39; D&C 68:1; Mosiah 16:2; 1 Nephi 11:22; 1 Nephi 8:12; 1 Nephi 8:11; Enos 1:4–9; 2 Nephi 31:13; Philippians 2:10–11; John 1:39
106,Doctrine and Covenants 81:5; Philippians 2:15; Doctrine and Covenants 81:5; Philippians 2:15
